sim date	sim km	sim litres
02/01/2015	24886	27.45
09/01/2015	25319	29.75
16/01/2015	25740	28.6
23/01/2015	26141	28.84
30/01/2015	26563	30.05
06/02/2015	26968	27.87
13/02/2015	27406	28.71
20/02/2015	27817	29.49
27/02/2015	28247	28.09
06/03/2015	28669	28.49
13/03/2015	29074	28.73
20/03/2015	29482	29.66
27/03/2015	29965	30.3
03/04/2015	30441	30.19
10/04/2015	30925	31.43
17/04/2015	31395	31.27
24/04/2015	31879	30.26
01/05/2015	32350	30.4
08/05/2015	32803	29.51
15/05/2015	33226	31.31
22/05/2015	33711	31.29
29/05/2015	34194	31.18
05/06/2015	34622	32
12/06/2015	35038	31.69
19/06/2015	35450	31.64
26/06/2015	35820	30.16
03/07/2015	36174	30.78
10/07/2015	36528	31.38
17/07/2015	36888	31.42
24/07/2015	37270	32.29
31/07/2015	37628	30.8
07/08/2015	38021	31.59
14/08/2015	38362	30.94
21/08/2015	38763	32.41
28/08/2015	39124	32.3
04/09/2015	39495	31.51
11/09/2015	39880	31.37
18/09/2015	40257	31.64
25/09/2015	40676	34.3
02/10/2015	41111	32.33
09/10/2015	41562	32.03
16/10/2015	42042	34.02
23/10/2015	42461	34.93
30/10/2015	42867	32.7
06/11/2015	43292	32.35
13/11/2015	43671	34.47
20/11/2015	44041	34.08
27/11/2015	44439	33.68
04/12/2015	44840	34.52
11/12/2015	45244	34.41
18/12/2015	45603	34.64
25/12/2015	46039	34.03
01/01/2016	46474	35.89
08/01/2016	46931	34.03
15/01/2016	47418	35.4
22/01/2016	47878	33.67
29/01/2016	48331	35.33
05/02/2016	48795	34.17
12/02/2016	49291	35.93
19/02/2016	49716	34.4
26/02/2016	50190	34.91
04/03/2016	50690	36.25
11/03/2016	51113	37.12
18/03/2016	51613	37.4
25/03/2016	52121	36.1
01/04/2016	52621	37.03
08/04/2016	53167	35.9
15/04/2016	53682	35.79
22/04/2016	54211	37.62
29/04/2016	54756	37.55
06/05/2016	55327	37.44
13/05/2016	55896	38.5
20/05/2016	56457	37.26
27/05/2016	57026	37.86
03/06/2016	57550	36.2
10/06/2016	58065	39.11
17/06/2016	58643	39.15
24/06/2016	59191	38.55
01/07/2016	59747	38.86
08/07/2016	60266	37.96
15/07/2016	60833	39.57
22/07/2016	61332	39.21
29/07/2016	61843	38.46
05/08/2016	62353	39.22
12/08/2016	62877	37.98
19/08/2016	63374	38.44
26/08/2016	63910	39.66
02/09/2016	64458	40.41
09/09/2016	64952	38.45
16/09/2016	65489	40.1
23/09/2016	66026	39.22
30/09/2016	66584	39.4
07/10/2016	67173	38.8
14/10/2016	67743	39.01
21/10/2016	68338	39.23
28/10/2016	68883	39.23
04/11/2016	69461	39.78
11/11/2016	70067	40.77
18/11/2016	70665	39.26
25/11/2016	71278	40.46
02/12/2016	71928	41.66
09/12/2016	72510	41.81
16/12/2016	73165	42.04
23/12/2016	73791	42.58
30/12/2016	74377	40.9
06/01/2017	75042	40.5
13/01/2017	75668	40.33
20/01/2017	76283	40.35
27/01/2017	76884	43.16
03/02/2017	77533	42.26
10/02/2017	78162	42.96
17/02/2017	78748	41.94
24/02/2017	79343	41.66
03/03/2017	79966	42.18
10/03/2017	80598	42.77
17/03/2017	81256	43.61
24/03/2017	81905	41.76
31/03/2017	82528	43.54
07/04/2017	83124	42.09
14/04/2017	83734	44.2
21/04/2017	84351	42.77
28/04/2017	84981	43.05
05/05/2017	85636	44.57
12/05/2017	86296	44.44
19/05/2017	86916	42.22
26/05/2017	87582	44.95
02/06/2017	88267	43.93
09/06/2017	88934	43.29
16/06/2017	89633	44.19
23/06/2017	90275	44.92
30/06/2017	90980	43.14
07/07/2017	91640	46.06
14/07/2017	92326	44.88
21/07/2017	93038	44.31
28/07/2017	93745	45.46
04/08/2017	94485	46.01
11/08/2017	95247	44.09
18/08/2017	95965	44.51
25/08/2017	96692	46.68
01/09/2017	97396	44.3
08/09/2017	98160	46.26
15/09/2017	98842	47.27
22/09/2017	99566	45.52
29/09/2017	100325	46.13
06/10/2017	101039	47.41
13/10/2017	101797	46.74
20/10/2017	102540	47.5
27/10/2017	103268	45.19
03/11/2017	104016	47.13
10/11/2017	104800	46.31
17/11/2017	105516	47.8
24/11/2017	106290	45.67
01/12/2017	107097	46.42
08/12/2017	107898	46
15/12/2017	108644	47.44
22/12/2017	109414	47.06
29/12/2017	110150	46.16
05/01/2018	110879	48.12
12/01/2018	111647	46.91
19/01/2018	112400	47.41
26/01/2018	113127	49.23
02/02/2018	113924	48.07
09/02/2018	114650	47.37
16/02/2018	115428	49.71
23/02/2018	116184	47.95
02/03/2018	116955	49.67
09/03/2018	117676	50.22
16/03/2018	118382	48.32
23/03/2018	119139	49.86
30/03/2018	119862	50.11
06/04/2018	120587	50.14
13/04/2018	121347	48.44
20/04/2018	122089	49.41
27/04/2018	122810	50.69
04/05/2018	123532	51.17
11/05/2018	124251	49.98
18/05/2018	125009	50.26
25/05/2018	125783	51
01/06/2018	126528	48.89
08/06/2018	127336	51.73
15/06/2018	128122	50.9
22/06/2018	128872	50.35
29/06/2018	129684	51.07
06/07/2018	130509	49.59
13/07/2018	131338	50.22
20/07/2018	132128	50.77
27/07/2018	132902	50.27
03/08/2018	133706	52.39
10/08/2018	134535	51.21
17/08/2018	135361	50.46
24/08/2018	136185	52.06
31/08/2018	137036	52.7
07/09/2018	137906	53.49
14/09/2018	138767	52.68
21/09/2018	139598	53.13
28/09/2018	140442	52.8
05/10/2018	141302	53.28
12/10/2018	142112	52.71
19/10/2018	142975	52.09
26/10/2018	143860	52.02
02/11/2018	144732	54.55
09/11/2018	145651	51.81
16/11/2018	146514	52.05
23/11/2018	147433	52.41
30/11/2018	148298	53.29
07/12/2018	149143	54.13
14/12/2018	149983	53.62
21/12/2018	150842	53.57
28/12/2018	151706	52.78
04/01/2019	152595	55.02
11/01/2019	153488	53.93
18/01/2019	154399	54.1
25/01/2019	155322	54.26
01/02/2019	156279	53.45
08/02/2019	157237	54.35
15/02/2019	158150	55.22
22/02/2019	159058	53.77
01/03/2019	159957	56.18
08/03/2019	160876	54.91
15/03/2019	161818	54.66
22/03/2019	162770	55.14
29/03/2019	163751	56.21
05/04/2019	164677	56.66
12/04/2019	165659	56.81
19/04/2019	166598	56.07
26/04/2019	167548	57.66
03/05/2019	168482	57.2
10/05/2019	169425	55.79
17/05/2019	170363	57.98
24/05/2019	171339	56.99
31/05/2019	172310	57.97
07/06/2019	173310	57.84
14/06/2019	174299	58.2
21/06/2019	175319	56.73
28/06/2019	176283	57.52
05/07/2019	177228	56.89
12/07/2019	178157	56.4
19/07/2019	179067	58.41
26/07/2019	179957	57.38
02/08/2019	180833	57.19
09/08/2019	181774	58.69
16/08/2019	182626	56.79
23/08/2019	183540	57.91
30/08/2019	184405	58.94
06/09/2019	185257	57.34
13/09/2019	186170	58.74
20/09/2019	187015	58.3
27/09/2019	187893	59.78
04/10/2019	188789	60.48
11/10/2019	189635	59.52
18/10/2019	190557	58.45
25/10/2019	191406	58.55
01/11/2019	192228	60.38
08/11/2019	193141	60.02
15/11/2019	194047	59.47
22/11/2019	194894	61.28
29/11/2019	195828	59.02
06/12/2019	196711	59.87
13/12/2019	197602	59.17
20/12/2019	198525	59.5
27/12/2019	199378	60.43
03/01/2020	200283	59.98
10/01/2020	201131	60.36
17/01/2020	202002	62.11
24/01/2020	202884	61
31/01/2020	203765	60.68
07/02/2020	204691	62.17
14/02/2020	205562	60.21
21/02/2020	206408	62.95
28/02/2020	207247	60.95
06/03/2020	208088	60.48
13/03/2020	208969	61.86
20/03/2020	209793	61.91
27/03/2020	210598	62.38
03/04/2020	211467	62.1
10/04/2020	212339	61.59
17/04/2020	213164	63.94
24/04/2020	213979	62.59
01/05/2020	214770	63.72
08/05/2020	215630	61.62
15/05/2020	216427	64.46
22/05/2020	217227	63.46
29/05/2020	218083	63.89
05/06/2020	218912	64.11
12/06/2020	219755	63.17
19/06/2020	220641	62.89
26/06/2020	221542	63.72
03/07/2020	222416	62.52
10/07/2020	223283	64.45
17/07/2020	224132	63.72
24/07/2020	224998	65.27
31/07/2020	225874	63.99
07/08/2020	226775	63.97
14/08/2020	227649	64.84
21/08/2020	228520	63.37
28/08/2020	229380	66.27
04/09/2020	230269	65.39
11/09/2020	231120	66.23
18/09/2020	231945	64.75
25/09/2020	232836	66.31
02/10/2020	233694	65.11
09/10/2020	234577	66.55
16/10/2020	235411	64.48
23/10/2020	236248	65.65
30/10/2020	237127	64.63
06/11/2020	237999	66.24
13/11/2020	238813	67.04
20/11/2020	239632	66.57
27/11/2020	240454	65.03
04/12/2020	241289	66.6
11/12/2020	242147	67.1
18/12/2020	243035	65.83
25/12/2020	243886	67.9
01/01/2021	244763	66.63
08/01/2021	245659	66.94
15/01/2021	246527	68.47
22/01/2021	247400	67.47
29/01/2021	248308	66.8
05/02/2021	249164	67.38
12/02/2021	250047	67.33
19/02/2021	250925	66.78
26/02/2021	251751	69.4
05/03/2021	252619	67.03
12/03/2021	253500	69.72
19/03/2021	254339	67.68
26/03/2021	255235	67.58
02/04/2021	256114	69.67
09/04/2021	256971	70.3
16/04/2021	257808	68.73
23/04/2021	258648	67.88
30/04/2021	259489	68.89
07/05/2021	260292	68.58
14/05/2021	261123	70.83
21/05/2021	261958	70.49
28/05/2021	262747	69.96
04/06/2021	263605	69.07
11/06/2021	264400	70.06
18/06/2021	265217	69.54
25/06/2021	266001	70.57
02/07/2021	266756	71.52
09/07/2021	267560	69.9
16/07/2021	268325	71.36
23/07/2021	269134	71.11
30/07/2021	269877	70.38
06/08/2021	270680	71.19
13/08/2021	271450	69.86
20/08/2021	272242	72.32
27/08/2021	273071	71.6
03/09/2021	273841	72.26
10/09/2021	274626	71.4
17/09/2021	275470	72.02
24/09/2021	276272	72.41
01/10/2021	277033	71.14
08/10/2021	277883	72.72
15/10/2021	278733	72.83
22/10/2021	279519	72.96
29/10/2021	280374	71.04
05/11/2021	281225	72.47
12/11/2021	282057	71.42
19/11/2021	282873	72.09
26/11/2021	283684	73.04
03/12/2021	284470	74.46
10/12/2021	285293	72.59
17/12/2021	286112	74.24
24/12/2021	286923	72.84
31/12/2021	287748	74.05
07/01/2022	288582	74.38
14/01/2022	289446	74.86
21/01/2022	290322	72.45
28/01/2022	291200	74.88
04/02/2022	292041	73.88
11/02/2022	292950	74.69
18/02/2022	293823	73.83
25/02/2022	294713	73.38
04/03/2022	295643	75.44
11/03/2022	296587	73.85
18/03/2022	297474	76
25/03/2022	298437	75.79
01/04/2022	299405	75.16
08/04/2022	300329	76.22
15/04/2022	301244	76.68
22/04/2022	302158	75.18
29/04/2022	303056	76.31
06/05/2022	303917	75.3
13/05/2022	304778	75.9
20/05/2022	305683	77.47
27/05/2022	306547	76.89
03/06/2022	307460	75.29
10/06/2022	308350	76.87
17/06/2022	309273	77.14
24/06/2022	310227	77.78
01/07/2022	311148	77.62
08/07/2022	312082	77.1
15/07/2022	313042	78.33
22/07/2022	314015	78.03
29/07/2022	314940	78.73
05/08/2022	315939	78.13
12/08/2022	316892	78.53
19/08/2022	317856	78.11
26/08/2022	318807	76.82
02/09/2022	319750	78.81
09/09/2022	320732	77.73
16/09/2022	321649	76.72
23/09/2022	322615	76.86
30/09/2022	323582	79.77
07/10/2022	324500	78.78
14/10/2022	325475	79.28
21/10/2022	326394	80.16
28/10/2022	327331	79.02
04/11/2022	328275	80.15
11/11/2022	329207	79.25
18/11/2022	330096	80.04
25/11/2022	330974	80.18
02/12/2022	331847	79.94
09/12/2022	332726	78.45
16/12/2022	333584	79.68
23/12/2022	334493	79.17
30/12/2022	335372	81.1
06/01/2023	336264	78.62
13/01/2023	337135	81.39
20/01/2023	337966	80.88
27/01/2023	338851	80.3
03/02/2023	339730	80.4
10/02/2023	340573	81.88
17/02/2023	341406	79.97
24/02/2023	342270	81.94
03/03/2023	343077	81.12
10/03/2023	343959	82.29
17/03/2023	344828	81.26
24/03/2023	345665	82.85
31/03/2023	346559	80.75
07/04/2023	347417	82.91
14/04/2023	348292	82.76
21/04/2023	349210	82.71
28/04/2023	350044	81.55
05/05/2023	350919	82.31
12/05/2023	351828	81.89
19/05/2023	352681	82.28
26/05/2023	353563	81.57
02/06/2023	354424	82.05
09/06/2023	355250	84.15
16/06/2023	356095	82.46
23/06/2023	356949	83.15
30/06/2023	357815	82.06
07/07/2023	358671	82.62
14/07/2023	359526	83.43
21/07/2023	360352	83.49
28/07/2023	361153	83.83
04/08/2023	361999	84.39
11/08/2023	362850	83.97
18/08/2023	363714	83.68
25/08/2023	364572	85.03
01/09/2023	365439	84.41
08/09/2023	366258	85
15/09/2023	367117	85.97
22/09/2023	367950	85.8
29/09/2023	368796	85.83
06/10/2023	369620	84.37
13/10/2023	370446	83.65
20/10/2023	371275	84.65
27/10/2023	372092	85.39
03/11/2023	372913	84.37
10/11/2023	373721	86.23
17/11/2023	374510	86.1
24/11/2023	375268	86.38
01/12/2023	376087	85.24
08/12/2023	376871	84.72
15/12/2023	377660	85.81
22/12/2023	378416	86.06
29/12/2023	379229	87.75
05/01/2024	380029	86.93
12/01/2024	380820	85.67
19/01/2024	381631	85.91
26/01/2024	382445	85.52
02/02/2024	383206	86.7
09/02/2024	384028	86.83
16/02/2024	384777	87.62
23/02/2024	385511	87.07
01/03/2024	386284	86.33
08/03/2024	387062	87.39
15/03/2024	387869	88.42
22/03/2024	388609	86.74
29/03/2024	389382	87.73
05/04/2024	390158	87.21
12/04/2024	390918	88.26
19/04/2024	391650	87.14
26/04/2024	392425	89.82
03/05/2024	393192	88.63
10/05/2024	393945	89.33
17/05/2024	394725	88.23
24/05/2024	395459	88.49
31/05/2024	396259	88.85
07/06/2024	397076	90.08
14/06/2024	397810	89.75
21/06/2024	398643	90.04
28/06/2024	399450	90.48
05/07/2024	400218	88.82
12/07/2024	401052	88.95
19/07/2024	401822	90.07
26/07/2024	402633	90.49
