Date	km	litres
02/01/2024	24886	28.42
09/01/2024	25319	29.75
16/01/2024	25740	28.53
23/01/2024	26141	28.63
30/01/2024	26563	27.97
06/02/2024	26968	28.21
13/02/2024	27406	28.92
20/02/2024	27817	29.47
27/02/2024	28247	28.39
05/03/2024	28669	29.5
12/03/2024	29074	30
19/03/2024	29482	30.78
26/03/2024	29965	31.18
02/04/2024	30441	30.61
09/04/2024	30925	30.98
16/04/2024	31395	30.04
23/04/2024	31879	29.07
30/04/2024	32350	29.19
07/05/2024	32803	30.67
14/05/2024	33296	30.46
21/05/2024	33721	31.19
28/05/2024	34159	30.17
04/06/2024	34615	31.28
11/06/2024	35080	30
18/06/2024	35523	31.07
25/06/2024	35939	30.99
02/07/2024	36367	30.8
09/07/2024	36805	31.16
16/07/2024	37215	31.8
23/07/2024	37655	31.61
30/07/2024	38056	33.18
06/08/2024	38510	33.63
13/08/2024	38961	33.12
20/08/2024	39404	31.73
27/08/2024	39884	32.19
03/09/2024	40353	31.29
10/09/2024	40837	31.93
17/09/2024	41290	31.83
24/09/2024	41757	33.36
01/10/2024	42176	34.04
08/10/2024	42654	32.13
15/10/2024	43096	33.05
22/10/2024	43570	34.74
29/10/2024	43993	32.64
05/11/2024	44410	32.86
12/11/2024	44887	33.77
19/11/2024	45365	33.12
26/11/2024	45855	33.05
03/12/2024	46352	35.15
10/12/2024	46884	33.31
17/12/2024	47435	35.07
24/12/2024	47999	33.92
31/12/2024	48558	36.05
07/01/2025	49165	33.5
14/01/2025	49777	35.8
21/01/2025	50356	35.88
28/01/2025	50989	33.87
04/02/2025	51590	33.99
11/02/2025	52238	36.93
18/02/2025	52867	36.6
25/02/2025	53481	37.1
04/03/2025	54079	37.07
